Age,Gender,HCCI_category,HCCI_outpatient_service_type,RX_generic_brand_indicator,HCCI_subcategory,Year,spending_per_member,OOP_spending_per_member,adjusted_price,adjusted_OOP_price,adjusted_utilization_per_1000,case_mix_intensity_index,price,OOP_price,utilization_per_1000,annual_pct_change_spending_per_member,annual_pct_change_OOP_spending_per_member,annual_pct_change_adjusted_price,annual_pct_change_adjusted_utilization_per_1000,annual_pct_change_case_mix_intensity_index,annual_pct_change_price,annual_pct_change_utilization_per_1000,cumulative_pct_change_spending_per_member,cumulative_pct_change_OOP_spending_per_member,cumulative_pct_change_adjusted_price,cumulative_pct_change_adjusted_utilization_per_1000,cumulative_pct_change_case_mix_intensity_index,cumulative_pct_change_price,cumulative_pct_change_utilization_per_1000
0-3,Male,RX,NA,Brand,Metabolic,2017,1.835,0.243,382.853,50.703,4.793,1,382.853,50.703,4.793,-0.221,-0.037,-0.282,0.085,0,-0.282,0.085,-0.328,0.066,-0.341,0.019,0,-0.341,0.019
0-3,Male,RX,NA,Brand,Metabolic,2018,1.689,0.229,403.442,54.815,4.186,1,403.442,54.815,4.186,-0.08,-0.056,0.054,-0.127,0,0.054,-0.127,-0.382,0.007,-0.306,-0.11,0,-0.306,-0.11
0-3,Male,RX,NA,Brand,Miscellaneous,2014,1.011,0.072,149.326,10.587,6.77,1,149.326,10.587,6.77,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Brand,Miscellaneous,2015,1.971,0.082,297.159,12.391,6.632,1,297.159,12.391,6.632,0.949,0.147,0.99,-0.02,0,0.99,-0.02,0.949,0.147,0.99,-0.02,0,0.99,-0.02
0-3,Male,RX,NA,Brand,Miscellaneous,2016,2.555,0.08,350.084,11.013,7.298,1,350.084,11.013,7.298,0.296,-0.022,0.178,0.1,0,0.178,0.1,1.527,0.121,1.344,0.078,0,1.344,0.078
0-3,Male,RX,NA,Brand,Miscellaneous,2017,1.954,0.092,277.265,13.062,7.048,1,277.265,13.062,7.048,-0.235,0.145,-0.208,-0.034,0,-0.208,-0.034,0.933,0.284,0.857,0.041,0,0.857,0.041
0-3,Male,RX,NA,Brand,Miscellaneous,2018,2.79,0.08,407.499,11.707,6.847,1,407.499,11.707,6.847,0.428,-0.129,0.47,-0.028,0,0.47,-0.028,1.76,0.118,1.729,0.011,0,1.729,0.011
0-3,Male,RX,NA,Brand,Respiratory,2014,12.808,2.128,231.71,38.496,55.277,1,231.71,38.496,55.277,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Brand,Respiratory,2015,13.876,2.123,240.875,36.849,57.606,1,240.875,36.849,57.606,0.083,-0.002,0.04,0.042,0,0.04,0.042,0.083,-0.002,0.04,0.042,0,0.04,0.042
0-3,Male,RX,NA,Brand,Respiratory,2016,14.596,2.258,257.722,39.873,56.636,1,257.722,39.873,56.636,0.052,0.064,0.07,-0.017,0,0.07,-0.017,0.14,0.061,0.112,0.025,0,0.112,0.025
0-3,Male,RX,NA,Brand,Respiratory,2017,16.844,2.3,290.061,39.607,58.069,1,290.061,39.607,58.069,0.154,0.018,0.125,0.025,0,0.125,0.025,0.315,0.081,0.252,0.051,0,0.252,0.051
0-3,Male,RX,NA,Brand,Respiratory,2018,18.088,2.848,315.781,49.722,57.28,1,315.781,49.722,57.28,0.074,0.238,0.089,-0.014,0,0.089,-0.014,0.412,0.338,0.363,0.036,0,0.363,0.036
0-3,Male,RX,NA,Brand,Rheumatoid Arthritis,2014,0.256,0.011,"2,814.72",117.126,0.091,1,"2,814.72",117.126,0.091,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Brand,Rheumatoid Arthritis,2015,0.339,0.009,"3,833.93",101.332,0.088,1,"3,833.93",101.332,0.088,0.322,-0.161,0.362,-0.03,0,0.362,-0.03,0.322,-0.161,0.362,-0.03,0,0.362,-0.03
0-3,Male,RX,NA,Brand,Rheumatoid Arthritis,2016,0.272,0.028,"3,265.47",340.7,0.083,1,"3,265.47",340.7,0.083,-0.196,2.175,-0.148,-0.056,0,-0.148,-0.056,0.063,1.665,0.16,-0.084,0,0.16,-0.084
0-3,Male,RX,NA,Brand,Rheumatoid Arthritis,2017,0.104,0.014,"3,883.82",520.658,0.027,1,"3,883.82",520.658,0.027,-0.62,-0.511,0.189,-0.68,0,0.189,-0.68,-0.596,0.303,0.38,-0.707,0,0.38,-0.707
0-3,Male,RX,NA,Brand,Rheumatoid Arthritis,2018,0.341,0.01,"3,528.98",107.57,0.097,1,"3,528.98",107.57,0.097,2.286,-0.253,-0.091,2.617,0,-0.091,2.617,0.329,-0.027,0.254,0.06,0,0.254,0.06
0-3,Male,RX,NA,Brand,Skin,2014,3.117,0.554,486.183,86.365,6.411,1,486.183,86.365,6.411,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Brand,Skin,2015,2.173,0.383,529.086,93.207,4.107,1,529.086,93.207,4.107,-0.303,-0.309,0.088,-0.359,0,0.088,-0.359,-0.303,-0.309,0.088,-0.359,0,0.088,-0.359
0-3,Male,RX,NA,Brand,Skin,2016,1.803,0.335,586.652,109.154,3.073,1,586.652,109.154,3.073,-0.17,-0.124,0.109,-0.252,0,0.109,-0.252,-0.422,-0.394,0.207,-0.521,0,0.207,-0.521
0-3,Male,RX,NA,Brand,Skin,2017,1.96,0.408,599.82,124.804,3.267,1,599.82,124.804,3.267,0.087,0.216,0.022,0.063,0,0.022,0.063,-0.371,-0.264,0.234,-0.49,0,0.234,-0.49
0-3,Male,RX,NA,Brand,Skin,2018,2.883,0.65,602.637,135.846,4.785,1,602.637,135.846,4.785,0.471,0.594,0.005,0.465,0,0.005,0.465,-0.075,0.174,0.24,-0.254,0,0.24,-0.254
0-3,Male,RX,NA,Brand,Smooth Muscle Relaxants,2014,0.001,0,142.561,33.995,0.006,1,142.561,33.995,0.006,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Brand,Smooth Muscle Relaxants,2015,0.003,0.001,284.848,57.206,0.01,1,284.848,57.206,0.01,2.28,1.762,0.998,0.642,0,0.998,0.642,2.28,1.762,0.998,0.642,0,0.998,0.642
0-3,Male,RX,NA,Brand,Smooth Muscle Relaxants,2016,0.003,0,292.48,36.602,0.009,1,292.48,36.602,0.009,-0.101,-0.44,0.027,-0.124,0,0.027,-0.124,1.95,0.548,1.052,0.438,0,1.052,0.438
0-3,Male,RX,NA,Brand,Smooth Muscle Relaxants,2017,0,0,50.63,50.63,0.002,1,50.63,50.63,0.002,-0.953,-0.626,-0.827,-0.73,0,-0.827,-0.73,-0.862,-0.421,-0.645,-0.611,0,-0.645,-0.611
0-3,Male,RX,NA,Brand,Smooth Muscle Relaxants,2018,0.001,0.001,54.13,50,0.01,1,54.13,50,0.01,3.586,3.236,0.069,3.289,0,0.069,3.289,-0.367,1.454,-0.62,0.668,0,-0.62,0.668
0-3,Male,RX,NA,Brand,Vaccines,2014,0.11,0.005,712.735,33.317,0.155,1,712.735,33.317,0.155,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Brand,Vaccines,2015,0.115,0.01,548.549,49.923,0.209,1,548.549,49.923,0.209,0.04,1.024,-0.23,0.351,0,-0.23,0.351,0.04,1.024,-0.23,0.351,0,-0.23,0.351
0-3,Male,RX,NA,Brand,Vaccines,2016,0.154,0.054,798.223,280.925,0.193,1,798.223,280.925,0.193,0.341,4.187,0.455,-0.078,0,0.455,-0.078,0.395,9.5,0.12,0.245,0,0.12,0.245
0-3,Male,RX,NA,Brand,Vaccines,2017,0.063,0.005,805.101,66.126,0.078,1,805.101,66.126,0.078,-0.591,-0.905,0.009,-0.595,0,0.009,-0.595,-0.43,0.002,0.13,-0.495,0,0.13,-0.495
0-3,Male,RX,NA,Brand,Vaccines,2018,0.049,0.003,561.842,29.939,0.088,1,561.842,29.939,0.088,-0.216,-0.491,-0.302,0.124,0,-0.302,0.124,-0.553,-0.49,-0.212,-0.433,0,-0.212,-0.433
0-3,Male,RX,NA,Brand,Vitamins,2014,0.286,0.062,73.048,15.782,3.917,1,73.048,15.782,3.917,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Brand,Vitamins,2015,0.281,0.053,85.689,16.056,3.278,1,85.689,16.056,3.278,-0.019,-0.149,0.173,-0.163,0,0.173,-0.163,-0.019,-0.149,0.173,-0.163,0,0.173,-0.163
0-3,Male,RX,NA,Brand,Vitamins,2016,0.331,0.073,80.147,17.689,4.133,1,80.147,17.689,4.133,0.179,0.389,-0.065,0.261,0,-0.065,0.261,0.157,0.182,0.097,0.055,0,0.097,0.055
0-3,Male,RX,NA,Brand,Vitamins,2017,0.594,0.134,116.513,26.28,5.095,1,116.513,26.28,5.095,0.792,0.831,0.454,0.233,0,0.454,0.233,1.074,1.166,0.595,0.3,0,0.595,0.3
0-3,Male,RX,NA,Brand,Vitamins,2018,0.589,0.13,127.979,28.223,4.604,1,127.979,28.223,4.604,-0.007,-0.029,0.098,-0.096,0,0.098,-0.096,1.059,1.102,0.752,0.175,0,0.752,0.175
0-3,Male,RX,NA,Generic,All Prescription Drugs,2014,94.746,32.562,69.426,23.86,"1,364.69",1,69.426,23.86,"1,364.69",,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Generic,All Prescription Drugs,2015,94.49,33.084,69.815,24.445,"1,353.43",1,69.815,24.445,"1,353.43",-0.003,0.016,0.006,-0.008,0,0.006,-0.008,-0.003,0.016,0.006,-0.008,0,0.006,-0.008
0-3,Male,RX,NA,Generic,All Prescription Drugs,2016,94.519,33.489,72.69,25.755,"1,300.30",1,72.69,25.755,"1,300.30",0,0.012,0.041,-0.039,0,0.041,-0.039,-0.002,0.028,0.047,-0.047,0,0.047,-0.047
0-3,Male,RX,NA,Generic,All Prescription Drugs,2017,89.347,31.229,69.151,24.17,"1,292.05",1,69.151,24.17,"1,292.05",-0.055,-0.067,-0.049,-0.006,0,-0.049,-0.006,-0.057,-0.041,-0.004,-0.053,0,-0.004,-0.053
0-3,Male,RX,NA,Generic,All Prescription Drugs,2018,90.107,31.15,71.471,24.708,"1,260.75",1,71.471,24.708,"1,260.75",0.009,-0.003,0.034,-0.024,0,0.034,-0.024,-0.049,-0.043,0.029,-0.076,0,0.029,-0.076
0-3,Male,RX,NA,Generic,Anti-Infectives,2014,27.917,13.751,71.202,35.072,392.076,1,71.202,35.072,392.076,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Generic,Anti-Infectives,2015,28.748,14.486,71.136,35.844,404.128,1,71.136,35.844,404.128,0.03,0.053,-0.001,0.031,0,-0.001,0.031,0.03,0.053,-0.001,0.031,0,-0.001,0.031
0-3,Male,RX,NA,Generic,Anti-Infectives,2016,28.509,15.049,71.895,37.951,396.543,1,71.895,37.951,396.543,-0.008,0.039,0.011,-0.019,0,0.011,-0.019,0.021,0.094,0.01,0.011,0,0.01,0.011
0-3,Male,RX,NA,Generic,Anti-Infectives,2017,29.73,14.422,76.215,36.971,390.083,1,76.215,36.971,390.083,0.043,-0.042,0.06,-0.016,0,0.06,-0.016,0.065,0.049,0.07,-0.005,0,0.07,-0.005
0-3,Male,RX,NA,Generic,Anti-Infectives,2018,33.43,15.126,87.778,39.715,380.852,1,87.778,39.715,380.852,0.124,0.049,0.152,-0.024,0,0.152,-0.024,0.198,0.1,0.233,-0.029,0,0.233,-0.029
0-3,Male,RX,NA,Generic,Antihistamines,2014,0.492,0.282,21.193,12.158,23.222,1,21.193,12.158,23.222,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Generic,Antihistamines,2015,0.479,0.285,19.996,11.919,23.938,1,19.996,11.919,23.938,-0.027,0.011,-0.056,0.031,0,-0.056,0.031,-0.027,0.011,-0.056,0.031,0,-0.056,0.031
0-3,Male,RX,NA,Generic,Antihistamines,2016,0.394,0.258,20.146,13.196,19.561,1,20.146,13.196,19.561,-0.177,-0.095,0.008,-0.183,0,0.008,-0.183,-0.199,-0.086,-0.049,-0.158,0,-0.049,-0.158
0-3,Male,RX,NA,Generic,Antihistamines,2017,0.333,0.21,16.315,10.264,20.413,1,16.315,10.264,20.413,-0.155,-0.188,-0.19,0.044,0,-0.19,0.044,-0.323,-0.258,-0.23,-0.121,0,-0.23,-0.121
0-3,Male,RX,NA,Generic,Antihistamines,2018,0.286,0.176,16.265,10.009,17.609,1,16.265,10.009,17.609,-0.14,-0.159,-0.003,-0.137,0,-0.003,-0.137,-0.418,-0.376,-0.233,-0.242,0,-0.233,-0.242
0-3,Male,RX,NA,Generic,Autonomic,2014,15.098,3.558,179.298,42.253,84.205,1,179.298,42.253,84.205,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Generic,Autonomic,2015,17.872,3.681,222.233,45.777,80.422,1,222.233,45.777,80.422,0.184,0.035,0.239,-0.045,0,0.239,-0.045,0.184,0.035,0.239,-0.045,0,0.239,-0.045
0-3,Male,RX,NA,Generic,Autonomic,2016,21.899,4.078,298.141,55.518,73.453,1,298.141,55.518,73.453,0.225,0.108,0.342,-0.087,0,0.342,-0.087,0.451,0.146,0.663,-0.128,0,0.663,-0.128
0-3,Male,RX,NA,Generic,Autonomic,2017,15.135,3.154,216.292,45.078,69.976,1,216.292,45.078,69.976,-0.309,-0.226,-0.275,-0.047,0,-0.275,-0.047,0.002,-0.113,0.206,-0.169,0,0.206,-0.169
0-3,Male,RX,NA,Generic,Autonomic,2018,9.665,2.504,149.688,38.775,64.57,1,149.688,38.775,64.57,-0.361,-0.206,-0.308,-0.077,0,-0.308,-0.077,-0.36,-0.296,-0.165,-0.233,0,-0.165,-0.233
0-3,Male,RX,NA,Generic,Blood,2014,0.212,0.024,45.754,5.085,4.644,1,45.754,5.085,4.644,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Generic,Blood,2015,0.174,0.014,37.073,3.019,4.701,1,37.073,3.019,4.701,-0.18,-0.399,-0.19,0.012,0,-0.19,0.012,-0.18,-0.399,-0.19,0.012,0,-0.19,0.012
0-3,Male,RX,NA,Generic,Blood,2016,0.11,0.014,21.898,2.821,5.006,1,21.898,2.821,5.006,-0.371,-0.005,-0.409,0.065,0,-0.409,0.065,-0.484,-0.402,-0.521,0.078,0,-0.521,0.078
0-3,Male,RX,NA,Generic,Blood,2017,0.127,0.013,60.034,6.211,2.108,1,60.034,6.211,2.108,0.154,-0.073,1.741,-0.579,0,1.741,-0.579,-0.405,-0.446,0.312,-0.546,0,0.312,-0.546
0-3,Male,RX,NA,Generic,Blood,2018,0.102,0.017,46.638,7.937,2.193,1,46.638,7.937,2.193,-0.192,0.33,-0.223,0.04,0,-0.223,0.04,-0.519,-0.263,0.019,-0.528,0,0.019,-0.528
0-3,Male,RX,NA,Generic,Cardiovascular,2014,0.407,0.177,28.928,12.615,14.058,1,28.928,12.615,14.058,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Generic,Cardiovascular,2015,0.396,0.137,29.533,10.249,13.395,1,29.533,10.249,13.395,-0.027,-0.226,0.021,-0.047,0,0.021,-0.047,-0.027,-0.226,0.021,-0.047,0,0.021,-0.047
0-3,Male,RX,NA,Generic,Cardiovascular,2016,0.391,0.131,31.722,10.634,12.314,1,31.722,10.634,12.314,-0.013,-0.046,0.074,-0.081,0,0.074,-0.081,-0.039,-0.262,0.097,-0.124,0,0.097,-0.124
0-3,Male,RX,NA,Generic,Cardiovascular,2017,0.339,0.128,25.44,9.586,13.333,1,25.44,9.586,13.333,-0.132,-0.024,-0.198,0.083,0,-0.198,0.083,-0.166,-0.279,-0.121,-0.052,0,-0.121,-0.052
0-3,Male,RX,NA,Generic,Cardiovascular,2018,0.259,0.099,23.26,8.905,11.121,1,23.26,8.905,11.121,-0.237,-0.225,-0.086,-0.166,0,-0.086,-0.166,-0.364,-0.442,-0.196,-0.209,0,-0.196,-0.209
0-3,Male,RX,NA,Generic,Central Nervous System,2014,2.136,0.702,49.139,16.159,43.463,1,49.139,16.159,43.463,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Generic,Central Nervous System,2015,1.964,0.662,46.024,15.52,42.684,1,46.024,15.52,42.684,-0.08,-0.057,-0.063,-0.018,0,-0.063,-0.018,-0.08,-0.057,-0.063,-0.018,0,-0.063,-0.018
0-3,Male,RX,NA,Generic,Central Nervous System,2016,1.825,0.638,46.179,16.152,39.527,1,46.179,16.152,39.527,-0.071,-0.036,0.003,-0.074,0,0.003,-0.074,-0.145,-0.091,-0.06,-0.091,0,-0.06,-0.091
0-3,Male,RX,NA,Generic,Central Nervous System,2017,2.317,0.551,57.113,13.58,40.577,1,57.113,13.58,40.577,0.27,-0.137,0.237,0.027,0,0.237,0.027,0.085,-0.215,0.162,-0.066,0,0.162,-0.066
0-3,Male,RX,NA,Generic,Central Nervous System,2018,8.888,0.552,226.552,14.069,39.23,1,226.552,14.069,39.23,2.835,0.002,2.967,-0.033,0,2.967,-0.033,3.161,-0.214,3.61,-0.097,0,3.61,-0.097
0-3,Male,RX,NA,Generic,Chemotherapy,2014,0.096,0.018,76.566,14.547,1.248,1,76.566,14.547,1.248,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Generic,Chemotherapy,2015,0.065,0.015,64.743,14.692,1.004,1,64.743,14.692,1.004,-0.319,-0.187,-0.154,-0.195,0,-0.154,-0.195,-0.319,-0.187,-0.154,-0.195,0,-0.154,-0.195
0-3,Male,RX,NA,Generic,Chemotherapy,2016,0.063,0.01,58.346,8.888,1.086,1,58.346,8.888,1.086,-0.025,-0.345,-0.099,0.082,0,-0.099,0.082,-0.336,-0.468,-0.238,-0.129,0,-0.238,-0.129
0-3,Male,RX,NA,Generic,Chemotherapy,2017,0.067,0.012,61.087,10.859,1.098,1,61.087,10.859,1.098,0.058,0.234,0.047,0.01,0,0.047,0.01,-0.298,-0.343,-0.202,-0.12,0,-0.202,-0.12
0-3,Male,RX,NA,Generic,Chemotherapy,2018,0.052,0.009,51.855,9.212,1.003,1,51.855,9.212,1.003,-0.224,-0.225,-0.151,-0.086,0,-0.151,-0.086,-0.456,-0.491,-0.323,-0.196,0,-0.323,-0.196
0-3,Male,RX,NA,Generic,Devices,2014,0.145,0.043,222.415,66.5,0.65,1,222.415,66.5,0.65,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Generic,Devices,2015,0.172,0.041,255.838,60.998,0.673,1,255.838,60.998,0.673,0.192,-0.05,0.15,0.036,0,0.15,0.036,0.192,-0.05,0.15,0.036,0,0.15,0.036
0-3,Male,RX,NA,Generic,Devices,2016,0.209,0.076,320.01,117.153,0.652,1,320.01,117.153,0.652,0.212,0.86,0.251,-0.031,0,0.251,-0.031,0.444,0.768,0.439,0.004,0,0.439,0.004
0-3,Male,RX,NA,Generic,Devices,2017,0.062,0.039,331.307,206.479,0.188,1,331.307,206.479,0.188,-0.702,-0.492,0.035,-0.712,0,0.035,-0.712,-0.569,-0.102,0.49,-0.711,0,0.49,-0.711
0-3,Male,RX,NA,Generic,Devices,2018,0.039,0.02,374.931,189.46,0.104,1,374.931,189.46,0.104,-0.377,-0.494,0.132,-0.449,0,0.132,-0.449,-0.731,-0.546,0.686,-0.841,0,0.686,-0.841
0-3,Male,RX,NA,Generic,Diagnostic,2015,0,0,318.88,40,0.001,1,318.88,40,0.001,,,,,,,,,,,,,,
0-3,Male,RX,NA,Generic,Diagnostic,2016,0,0,"1,155.00",300,0,1,"1,155.00",300,0,-0.354,0.337,2.622,-0.822,0,2.622,-0.822,,,,,,,
0-3,Male,RX,NA,Generic,EENT,2014,3.637,2.207,33.005,20.033,110.191,1,33.005,20.033,110.191,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Generic,EENT,2015,4.413,2.424,41.069,22.558,107.46,1,41.069,22.558,107.46,0.214,0.098,0.244,-0.025,0,0.244,-0.025,0.214,0.098,0.244,-0.025,0,0.244,-0.025
0-3,Male,RX,NA,Generic,EENT,2016,4.344,2.318,42.858,22.872,101.359,1,42.858,22.872,101.359,-0.016,-0.044,0.044,-0.057,0,0.044,-0.057,0.194,0.05,0.299,-0.08,0,0.299,-0.08
0-3,Male,RX,NA,Generic,EENT,2017,6.009,2.595,56.375,24.346,106.583,1,56.375,24.346,106.583,0.383,0.119,0.315,0.052,0,0.315,0.052,0.652,0.175,0.708,-0.033,0,0.708,-0.033
0-3,Male,RX,NA,Generic,EENT,2018,6.618,2.963,61.201,27.4,108.129,1,61.201,27.4,108.129,0.101,0.142,0.086,0.015,0,0.086,0.015,0.82,0.342,0.854,-0.019,0,0.854,-0.019
0-3,Male,RX,NA,Generic,Enzymes,2014,0.148,0.002,"5,439.60",80.624,0.027,1,"5,439.60",80.624,0.027,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Generic,Enzymes,2015,0.267,0.002,"7,002.40",62.192,0.038,1,"7,002.40",62.192,0.038,0.798,0.077,0.287,0.396,0,0.287,0.396,0.798,0.077,0.287,0.396,0,0.287,0.396
0-3,Male,RX,NA,Generic,Enzymes,2016,0.058,0,"6,178.80",24.874,0.009,1,"6,178.80",24.874,0.009,-0.783,-0.902,-0.118,-0.754,0,-0.118,-0.754,-0.609,-0.894,0.136,-0.656,0,0.136,-0.656
0-3,Male,RX,NA,Generic,Enzymes,2017,0.56,0.007,"10,929.27",133.511,0.051,1,"10,929.27",133.511,0.051,8.664,28.325,0.769,4.464,0,0.769,4.464,2.775,2.111,1.009,0.879,0,1.009,0.879
0-3,Male,RX,NA,Generic,Enzymes,2018,0.417,0.009,"7,221.72",148.617,0.058,1,"7,221.72",148.617,0.058,-0.256,0.253,-0.339,0.126,0,-0.339,0.126,1.808,2.899,0.328,1.115,0,0.328,1.115
0-3,Male,RX,NA,Generic,Gastrointestinal,2014,3.887,2.091,23.649,12.723,164.359,1,23.649,12.723,164.359,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Generic,Gastrointestinal,2015,3.292,1.87,20.912,11.882,157.399,1,20.912,11.882,157.399,-0.153,-0.106,-0.116,-0.042,0,-0.116,-0.042,-0.153,-0.106,-0.116,-0.042,0,-0.116,-0.042
0-3,Male,RX,NA,Generic,Gastrointestinal,2016,3.164,1.716,20.628,11.19,153.365,1,20.628,11.19,153.365,-0.039,-0.082,-0.014,-0.026,0,-0.014,-0.026,-0.186,-0.179,-0.128,-0.067,0,-0.128,-0.067
0-3,Male,RX,NA,Generic,Gastrointestinal,2017,3.603,1.531,22.613,9.609,159.327,1,22.613,9.609,159.327,0.139,-0.108,0.096,0.039,0,0.096,0.039,-0.073,-0.268,-0.044,-0.031,0,-0.044,-0.031
0-3,Male,RX,NA,Generic,Gastrointestinal,2018,3.698,1.478,23.461,9.377,157.629,1,23.461,9.377,157.629,0.026,-0.035,0.038,-0.011,0,0.038,-0.011,-0.049,-0.293,-0.008,-0.041,0,-0.008,-0.041
0-3,Male,RX,NA,Generic,Hormones,2014,1.555,1.233,39.356,31.2,39.519,1,39.356,31.2,39.519,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Generic,Hormones,2015,1.527,1.238,38.881,31.515,39.277,1,38.881,31.515,39.277,-0.018,0.004,-0.012,-0.006,0,-0.012,-0.006,-0.018,0.004,-0.012,-0.006,0,-0.012,-0.006
0-3,Male,RX,NA,Generic,Hormones,2016,1.372,1.161,36.457,30.856,37.637,1,36.457,30.856,37.637,-0.101,-0.062,-0.062,-0.042,0,-0.062,-0.042,-0.118,-0.058,-0.074,-0.048,0,-0.074,-0.048
0-3,Male,RX,NA,Generic,Hormones,2017,1.356,0.932,35.399,24.337,38.296,1,35.399,24.337,38.296,-0.012,-0.197,-0.029,0.018,0,-0.029,0.018,-0.128,-0.244,-0.101,-0.031,0,-0.101,-0.031
0-3,Male,RX,NA,Generic,Hormones,2018,1.282,0.859,35.595,23.864,36.012,1,35.595,23.864,36.012,-0.054,-0.078,0.006,-0.06,0,0.006,-0.06,-0.176,-0.303,-0.096,-0.089,0,-0.096,-0.089
0-3,Male,RX,NA,Generic,Metabolic,2014,0.342,0.144,22.572,9.542,15.14,1,22.572,9.542,15.14,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Generic,Metabolic,2015,0.347,0.139,21.395,8.583,16.242,1,21.395,8.583,16.242,0.017,-0.035,-0.052,0.073,0,-0.052,0.073,0.017,-0.035,-0.052,0.073,0,-0.052,0.073
0-3,Male,RX,NA,Generic,Metabolic,2016,0.392,0.166,22.645,9.562,17.331,1,22.645,9.562,17.331,0.129,0.189,0.058,0.067,0,0.058,0.067,0.148,0.147,0.003,0.145,0,0.003,0.145
0-3,Male,RX,NA,Generic,Metabolic,2017,0.515,0.183,27.177,9.649,18.939,1,27.177,9.649,18.939,0.311,0.103,0.2,0.093,0,0.2,0.093,0.506,0.265,0.204,0.251,0,0.204,0.251
0-3,Male,RX,NA,Generic,Metabolic,2018,0.506,0.192,25.687,9.718,19.709,1,25.687,9.718,19.709,-0.016,0.048,-0.055,0.041,0,-0.055,0.041,0.481,0.326,0.138,0.302,0,0.138,0.302
0-3,Male,RX,NA,Generic,Miscellaneous,2014,0.441,0.065,12.132,1.801,36.325,1,12.132,1.801,36.325,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Generic,Miscellaneous,2015,0.609,0.067,13.849,1.52,44.003,1,13.849,1.52,44.003,0.383,0.022,0.142,0.211,0,0.142,0.211,0.383,0.022,0.142,0.211,0,0.142,0.211
0-3,Male,RX,NA,Generic,Miscellaneous,2016,0.606,0.054,13.095,1.174,46.285,1,13.095,1.174,46.285,-0.005,-0.187,-0.054,0.052,0,-0.054,0.052,0.375,-0.169,0.079,0.274,0,0.079,0.274
0-3,Male,RX,NA,Generic,Miscellaneous,2017,0.705,0.068,15.339,1.487,45.966,1,15.339,1.487,45.966,0.163,0.258,0.171,-0.007,0,0.171,-0.007,0.6,0.045,0.264,0.265,0,0.264,0.265
0-3,Male,RX,NA,Generic,Miscellaneous,2018,0.732,0.064,17.326,1.509,42.219,1,17.326,1.509,42.219,0.037,-0.068,0.13,-0.082,0,0.13,-0.082,0.66,-0.026,0.428,0.162,0,0.428,0.162
0-3,Male,RX,NA,Generic,Respiratory,2014,24.886,3.705,155.561,23.159,159.976,1,155.561,23.159,159.976,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Generic,Respiratory,2015,22.138,3.353,147.139,22.285,150.456,1,147.139,22.285,150.456,-0.11,-0.095,-0.054,-0.06,0,-0.054,-0.06,-0.11,-0.095,-0.054,-0.06,0,-0.054,-0.06
0-3,Male,RX,NA,Generic,Respiratory,2016,20.274,3.244,142.705,22.831,142.072,1,142.705,22.831,142.072,-0.084,-0.033,-0.03,-0.056,0,-0.03,-0.056,-0.185,-0.124,-0.083,-0.112,0,-0.083,-0.112
0-3,Male,RX,NA,Generic,Respiratory,2017,18.169,3.037,134.001,22.401,135.589,1,134.001,22.401,135.589,-0.104,-0.064,-0.061,-0.046,0,-0.061,-0.046,-0.27,-0.18,-0.139,-0.152,0,-0.139,-0.152
0-3,Male,RX,NA,Generic,Respiratory,2018,14.537,2.838,115.287,22.504,126.09,1,115.287,22.504,126.09,-0.2,-0.066,-0.14,-0.07,0,-0.14,-0.07,-0.416,-0.234,-0.259,-0.212,0,-0.259,-0.212
0-3,Male,RX,NA,Generic,Rheumatoid Arthritis,2014,0.002,0,100.772,0,0.015,1,100.772,0,0.015,,,,,,,,0,0,0,0,0,0,0
0-3,Male,RX,NA,Generic,Rheumatoid Arthritis,2015,0.003,0,121.428,2.656,0.026,1,121.428,2.656,0.026,1.017,,0.205,0.674,0,0.205,0.674,1.017,,0.205,0.674,0,0.205,0.674
