HCCI_category,HCCI_outpatient_service_type,RX_generic_brand_indicator,HCCI_subcategory,Year,spending_per_member,OOP_spending_per_member,adjusted_price,adjusted_OOP_price,adjusted_utilization_per_1000,case_mix_intensity_index,price,OOP_price,utilization_per_1000,annual_pct_change_spending_per_member,annual_pct_change_OOP_spending_per_member,annual_pct_change_adjusted_price,annual_pct_change_adjusted_utilization_per_1000,annual_pct_change_case_mix_intensity_index,annual_pct_change_price,annual_pct_change_utilization_per_1000,cumulative_pct_change_spending_per_member,cumulative_pct_change_OOP_spending_per_member,cumulative_pct_change_adjusted_price,cumulative_pct_change_adjusted_utilization_per_1000,cumulative_pct_change_case_mix_intensity_index,cumulative_pct_change_price,cumulative_pct_change_utilization_per_1000
Professional,NA,NA,Administration of Drugs,2017,37.94,2.68,58.167,4.112,652.285,1.024,59.535,4.209,637.3,0.134,0.058,0.135,-0.001,0,0.135,-0.001,0.233,0.121,0.177,0.048,0.024,0.205,0.023
Professional,NA,NA,Administration of Drugs,2018,41.36,2.71,60.395,3.962,684.891,1.013,61.198,4.015,675.903,0.09,0.012,0.038,0.05,-0.01,0.028,0.061,0.344,0.134,0.222,0.1,0.013,0.238,0.085
Professional,NA,NA,Anesthesia,2014,101.91,14.64,737.152,105.866,138.247,1,737.152,105.866,138.247,,,,,,,,0,0,0,0,0,0,0
Professional,NA,NA,Anesthesia,2015,104.66,15.01,752.157,107.906,139.146,0.995,748.727,107.414,139.783,0.027,0.026,0.02,0.006,-0.005,0.016,0.011,0.027,0.026,0.02,0.006,-0.005,0.016,0.011
Professional,NA,NA,Anesthesia,2016,107.97,15,760.991,105.729,141.878,0.992,755.044,104.903,142.995,0.032,-0.001,0.012,0.02,-0.003,0.008,0.023,0.059,0.025,0.032,0.026,-0.008,0.024,0.034
Professional,NA,NA,Anesthesia,2017,110.43,15.43,768.401,107.377,143.719,0.933,716.881,100.178,154.047,0.023,0.029,0.01,0.013,-0.06,-0.051,0.077,0.084,0.054,0.042,0.04,-0.067,-0.027,0.114
Professional,NA,NA,Anesthesia,2018,109.46,15.73,754.547,108.441,145.069,0.933,704.052,101.184,155.474,-0.009,0.019,-0.018,0.009,0,-0.018,0.009,0.074,0.075,0.024,0.049,-0.067,-0.045,0.125
Professional,NA,NA,ER ,2014,74.14,11.58,390.106,60.925,190.039,1,390.106,60.925,190.039,,,,,,,,0,0,0,0,0,0,0
Professional,NA,NA,ER ,2015,80.32,13.41,410.062,68.447,195.881,1.004,411.633,68.709,195.134,0.083,0.158,0.051,0.031,0.004,0.055,0.027,0.083,0.158,0.051,0.031,0.004,0.055,0.027
Professional,NA,NA,ER ,2016,84.95,14.88,418.833,73.354,202.83,1.02,427.223,74.824,198.847,0.058,0.11,0.021,0.035,0.016,0.038,0.019,0.146,0.285,0.074,0.067,0.02,0.095,0.046
Professional,NA,NA,ER ,2017,87.75,15.63,423.057,75.372,207.42,1.031,436.328,77.736,201.111,0.033,0.051,0.01,0.023,0.011,0.021,0.011,0.184,0.35,0.084,0.091,0.031,0.118,0.058
Professional,NA,NA,ER ,2018,85.61,15.85,401.454,74.34,213.244,1.048,420.822,77.927,203.43,-0.024,0.014,-0.051,0.028,0.016,-0.036,0.012,0.155,0.369,0.029,0.122,0.048,0.079,0.07
Professional,NA,NA,Immunizations,2014,32.61,0.45,64.399,0.895,506.321,1,64.399,0.895,506.321,,,,,,,,0,0,0,0,0,0,0
Professional,NA,NA,Immunizations,2015,34.62,0.43,66.225,0.825,522.693,1.064,70.469,0.877,491.216,0.062,-0.049,0.028,0.032,0.064,0.094,-0.03,0.062,-0.049,0.028,0.032,0.064,0.094,-0.03
Professional,NA,NA,Immunizations,2016,38.31,0.44,67.39,0.771,568.433,1.109,74.759,0.855,512.4,0.107,0.017,0.018,0.088,0.043,0.061,0.043,0.175,-0.033,0.046,0.123,0.109,0.161,0.012
Professional,NA,NA,Immunizations,2017,38.7,0.43,69.644,0.767,555.616,1.102,76.745,0.846,504.209,0.01,-0.027,0.033,-0.023,-0.007,0.027,-0.016,0.187,-0.059,0.081,0.097,0.102,0.192,-0.004
Professional,NA,NA,Immunizations,2018,41.33,0.42,71.656,0.735,576.77,1.074,76.947,0.789,537.114,0.068,-0.006,0.029,0.038,-0.026,0.003,0.065,0.268,-0.065,0.113,0.139,0.074,0.195,0.061
Professional,NA,NA,Lab/Pathology,2014,152.83,40.63,31.762,8.445,"4,811.78",1,31.762,8.45,"4,811.78",,,,,,,,0,0,0,0,0,0,0
Professional,NA,NA,Lab/Pathology,2015,155.62,42.29,31.451,8.548,"4,948.04",1.042,32.781,8.91,"4,747.17",0.018,0.041,-0.01,0.028,0.042,0.032,-0.013,0.018,0.041,-0.01,0.028,0.042,0.032,-0.013
Professional,NA,NA,Lab/Pathology,2016,142.94,39.78,29.852,8.309,"4,788.12",1.073,32.041,8.92,"4,461.06",-0.081,-0.059,-0.051,-0.032,0.03,-0.023,-0.06,-0.065,-0.021,-0.06,-0.005,0.073,0.009,-0.073
Professional,NA,NA,Lab/Pathology,2017,143.3,39.99,29.365,8.194,"4,880.02",1.079,31.699,8.85,"4,520.70",0.003,0.005,-0.016,0.019,0.006,-0.011,0.013,-0.062,-0.016,-0.075,0.014,0.079,-0.002,-0.06
Professional,NA,NA,Lab/Pathology,2018,143.1,40.23,28.403,7.985,"5,038.21",1.109,31.494,8.86,"4,543.65",-0.001,0.006,-0.033,0.032,0.027,-0.006,0.005,-0.064,-0.01,-0.106,0.047,0.109,-0.008,-0.056
Professional,NA,NA,Office Visits,2014,359.08,111.12,106.435,32.937,"3,373.67",1,106.435,32.94,"3,373.67",,,,,,,,0,0,0,0,0,0,0
Professional,NA,NA,Office Visits,2015,371.4,116.03,109.456,34.196,"3,393.14",1.007,110.257,34.45,"3,368.49",0.034,0.044,0.028,0.006,0.007,0.036,-0.002,0.034,0.044,0.028,0.006,0.007,0.036,-0.002
Professional,NA,NA,Office Visits,2016,386.18,121.23,112.254,35.238,"3,440.21",1.015,113.894,35.75,"3,390.66",0.04,0.045,0.026,0.014,0.007,0.033,0.007,0.075,0.091,0.055,0.02,0.015,0.07,0.005
Professional,NA,NA,Office Visits,2017,399.96,125.26,114.753,35.939,"3,485.38",1.025,117.642,36.84,"3,399.79",0.036,0.033,0.022,0.013,0.01,0.033,0.003,0.114,0.127,0.078,0.033,0.025,0.105,0.008
Professional,NA,NA,Office Visits,2018,421.39,130.94,117.823,36.61,"3,576.46",1.032,121.639,37.80,"3,464.26",0.054,0.045,0.027,0.026,0.007,0.034,0.019,0.174,0.178,0.107,0.06,0.032,0.143,0.027
Professional,NA,NA,Other Services,2014,235.2,41.76,97.706,17.348,"2,407.16",1,97.706,17.35,"2,407.16",,,,,,,,0,0,0,0,0,0,0
Professional,NA,NA,Other Services,2015,238.13,44.26,97.944,18.205,"2,431.30",1.002,98.137,18.24,"2,426.52",0.012,0.06,0.002,0.01,0.002,0.004,0.008,0.012,0.06,0.002,0.01,0.002,0.004,0.008
Professional,NA,NA,Other Services,2016,254.6,49.21,101.685,19.656,"2,503.80",1.005,102.236,19.76,"2,490.31",0.069,0.112,0.038,0.03,0.003,0.042,0.026,0.082,0.179,0.041,0.04,0.005,0.046,0.035
Professional,NA,NA,Other Services,2017,268.5,50.87,103.496,19.61,"2,594.29",0.989,102.363,19.40,"2,623.00",0.055,0.034,0.018,0.036,-0.016,0.001,0.053,0.142,0.218,0.059,0.078,-0.011,0.048,0.09
Professional,NA,NA,Other Services,2018,266.22,52.19,99.25,19.458,"2,682.29",0.968,96.108,18.84,"2,769.97",-0.008,0.026,-0.041,0.034,-0.021,-0.061,0.056,0.132,0.25,0.016,0.114,-0.032,-0.016,0.151
Professional,NA,NA,Physical Medicine,2014,75.16,29.46,40.38,15.828,"1,861.34",1,40.38,15.83,"1,861.34",,,,,,,,0,0,0,0,0,0,0
Professional,NA,NA,Physical Medicine,2015,76.11,30.06,40.791,16.112,"1,865.87",1.007,41.064,16.22,"1,853.47",0.013,0.02,0.01,0.002,0.007,0.017,-0.004,0.013,0.02,0.01,0.002,0.007,0.017,-0.004
Professional,NA,NA,Physical Medicine,2016,77.88,30.78,43.035,17.009,"1,809.61",1.018,43.795,17.31,"1,778.18",0.023,0.024,0.055,-0.03,0.011,0.067,-0.041,0.036,0.045,0.066,-0.028,0.018,0.085,-0.045
Professional,NA,NA,Physical Medicine,2017,78.14,30.91,44.014,17.409,"1,775.40",1.026,45.169,17.87,"1,729.99",0.003,0.004,0.023,-0.019,0.008,0.031,-0.027,0.04,0.049,0.09,-0.046,0.026,0.119,-0.071
Professional,NA,NA,Physical Medicine,2018,82.05,32.22,44.381,17.43,"1,848.73",1.037,46.039,18.08,"1,782.16",0.05,0.043,0.008,0.041,0.011,0.019,0.03,0.092,0.094,0.099,-0.007,0.037,0.14,-0.043
Professional,NA,NA,Psychiatry,2014,43.75,16.68,94.447,36.011,463.275,1,94.447,36.011,463.275,,,,,,,,0,0,0,0,0,0,0
Professional,NA,NA,Psychiatry,2015,46.11,17.24,96.363,36.023,478.499,1.009,97.232,36.347,474.224,0.054,0.033,0.02,0.033,0.009,0.029,0.024,0.054,0.033,0.02,0.033,0.009,0.029,0.024
Professional,NA,NA,Psychiatry,2016,50.31,18.6,98.505,36.406,510.786,1.012,99.649,36.829,504.918,0.091,0.079,0.022,0.067,0.003,0.025,0.065,0.15,0.115,0.043,0.103,0.012,0.055,0.09
Professional,NA,NA,Psychiatry,2017,54.49,19.7,99.561,36.002,547.29,1.015,101.032,36.534,539.324,0.083,0.06,0.011,0.071,0.003,0.014,0.068,0.245,0.181,0.054,0.181,0.015,0.07,0.164
Professional,NA,NA,Psychiatry,2018,62.62,21.71,102.03,35.366,613.756,1.022,104.268,36.141,600.584,0.149,0.102,0.025,0.121,0.007,0.032,0.114,0.431,0.301,0.08,0.325,0.022,0.104,0.296
Professional,NA,NA,Radiology,2014,147.37,32,120.958,26.262,"1,218.37",1,120.958,26.26,"1,218.37",,,,,,,,0,0,0,0,0,0,0
Professional,NA,NA,Radiology,2015,148.22,33.75,123.145,28.043,"1,203.63",0.996,122.611,27.92,"1,208.87",0.006,0.055,0.018,-0.012,-0.004,0.014,-0.008,0.006,0.055,0.018,-0.012,-0.004,0.014,-0.008
Professional,NA,NA,Radiology,2016,149.04,34.86,124.706,29.172,"1,195.10",0.991,123.643,28.92,"1,205.38",0.006,0.033,0.013,-0.007,-0.004,0.008,-0.003,0.011,0.09,0.031,-0.019,-0.009,0.022,-0.011
Professional,NA,NA,Radiology,2017,154.17,35.89,139.639,32.508,"1,104.09",0.974,136.036,31.67,"1,133.33",0.034,0.029,0.12,-0.076,-0.017,0.1,-0.06,0.046,0.122,0.154,-0.094,-0.026,0.125,-0.07
Professional,NA,NA,Radiology,2018,159.99,37.91,138.156,32.736,"1,158.04",0.972,134.348,31.83,"1,190.86",0.038,0.056,-0.011,0.049,-0.002,-0.012,0.051,0.086,0.185,0.142,-0.05,-0.028,0.111,-0.023
Professional,NA,NA,Surgical,2014,276.63,50.44,410.425,74.833,674.017,1,410.425,74.833,674.017,,,,,,,,0,0,0,0,0,0,0
Professional,NA,NA,Surgical,2015,276.53,52.53,415.977,79.023,664.769,0.995,413.876,78.624,668.142,0,0.042,0.014,-0.014,-0.005,0.008,-0.009,0,0.042,0.014,-0.014,-0.005,0.008,-0.009
Professional,NA,NA,Surgical,2016,281.33,54.08,422.378,81.19,666.061,0.993,419.613,80.658,670.45,0.017,0.029,0.015,0.002,-0.002,0.014,0.003,0.017,0.072,0.029,-0.012,-0.007,0.022,-0.005
Professional,NA,NA,Surgical,2017,282.64,55.32,430.058,84.17,657.202,0.987,424.499,83.082,665.809,0.005,0.023,0.018,-0.013,-0.006,0.012,-0.007,0.022,0.097,0.048,-0.025,-0.013,0.034,-0.012
Professional,NA,NA,Surgical,2018,287.99,57.02,436.04,86.338,660.473,0.986,429.837,85.11,670.004,0.019,0.031,0.014,0.005,-0.001,0.013,0.006,0.041,0.131,0.062,-0.02,-0.014,0.047,-0.006
Prescription Drugs,NA,All,All Prescription Drugs,2014,888.4,162.1,93.439,17.049,"9,507.82",,93.439,17.05,"9,507.82",,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,All Prescription Drugs,2015,962.99,156.38,101.809,16.533,"9,458.74",,101.809,16.53,"9,458.74",0.084,-0.035,0.09,-0.005,,0.09,-0.005,0.084,-0.035,0.09,-0.005,,0.09,-0.005
Prescription Drugs,NA,All,All Prescription Drugs,2016,"1,018.64",155.45,107.302,16.375,"9,493.21",,107.302,16.38,"9,493.21",0.058,-0.006,0.054,0.004,,0.054,0.004,0.147,-0.041,0.148,-0.002,,0.148,-0.002
Prescription Drugs,NA,All,All Prescription Drugs,2017,"1,067.37",153.41,108.756,15.631,"9,814.40",,108.756,15.63,"9,814.40",0.048,-0.013,0.014,0.034,,0.014,0.034,0.201,-0.054,0.164,0.032,,0.164,0.032
Prescription Drugs,NA,All,All Prescription Drugs,2018,"1,117.80",154.85,112.696,15.612,"9,918.78",,112.696,15.61,"9,918.78",0.047,0.009,0.036,0.011,,0.036,0.011,0.258,-0.045,0.206,0.043,,0.206,0.043
Prescription Drugs,NA,All,Anti-Infectives,2014,107.24,14.85,261.07,36.154,410.752,,261.07,36.154,410.752,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Anti-Infectives,2015,129.26,15.36,318.141,37.799,406.308,,318.141,37.799,406.308,0.205,0.034,0.219,-0.011,,0.219,-0.011,0.205,0.034,0.219,-0.011,,0.219,-0.011
Prescription Drugs,NA,All,Anti-Infectives,2016,118.75,14.88,299.853,37.571,396.019,,299.853,37.571,396.019,-0.081,-0.031,-0.057,-0.025,,-0.057,-0.025,0.107,0.002,0.149,-0.036,,0.149,-0.036
Prescription Drugs,NA,All,Anti-Infectives,2017,116.24,14.77,290.817,36.943,399.711,,290.817,36.943,399.711,-0.021,-0.008,-0.03,0.009,,-0.03,0.009,0.084,-0.006,0.114,-0.027,,0.114,-0.027
Prescription Drugs,NA,All,Anti-Infectives,2018,116.43,15.41,293.683,38.858,396.449,,293.683,38.858,396.449,0.002,0.043,0.01,-0.008,,0.01,-0.008,0.086,0.037,0.125,-0.035,,0.125,-0.035
Prescription Drugs,NA,All,Antihistamines,2014,1.31,0.47,39.446,14.345,33.105,,39.446,14.345,33.105,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Antihistamines,2015,0.96,0.43,29.344,13.203,32.722,,29.344,13.203,32.722,-0.265,-0.09,-0.256,-0.012,,-0.256,-0.012,-0.265,-0.09,-0.256,-0.012,,-0.256,-0.012
Prescription Drugs,NA,All,Antihistamines,2016,0.84,0.45,23.094,12.3,36.226,,23.094,12.3,36.226,-0.129,0.031,-0.213,0.107,,-0.213,0.107,-0.359,-0.062,-0.415,0.094,,-0.415,0.094
Prescription Drugs,NA,All,Antihistamines,2017,0.78,0.39,22.147,10.984,35.214,,22.147,10.984,35.214,-0.068,-0.132,-0.041,-0.028,,-0.041,-0.028,-0.403,-0.185,-0.439,0.064,,-0.439,0.064
Prescription Drugs,NA,All,Antihistamines,2018,0.71,0.34,21.793,10.292,32.661,,21.793,10.292,32.661,-0.087,-0.131,-0.016,-0.072,,-0.016,-0.072,-0.455,-0.292,-0.448,-0.013,,-0.448,-0.013
Prescription Drugs,NA,All,Autonomic,2014,23.2,6.7,80.854,23.363,286.955,,80.854,23.363,286.955,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Autonomic,2015,26.34,6.64,89.952,22.681,292.803,,89.952,22.681,292.803,0.135,-0.009,0.113,0.02,,0.113,0.02,0.135,-0.009,0.113,0.02,,0.113,0.02
Prescription Drugs,NA,All,Autonomic,2016,28.36,6.9,97.543,23.73,290.795,,97.543,23.73,290.795,0.077,0.039,0.084,-0.007,,0.084,-0.007,0.223,0.029,0.206,0.013,,0.206,0.013
Prescription Drugs,NA,All,Autonomic,2017,27.59,7.1,92.4,23.765,298.594,,92.4,23.765,298.594,-0.027,0.028,-0.053,0.027,,-0.053,0.027,0.189,0.058,0.143,0.041,,0.143,0.041
Prescription Drugs,NA,All,Autonomic,2018,27.59,7.03,92.056,23.45,299.694,,92.056,23.45,299.694,0,-0.01,-0.004,0.004,,-0.004,0.004,0.189,0.048,0.139,0.044,,0.139,0.044
Prescription Drugs,NA,All,Bio Response Modifiers,2014,46.56,1.36,"5,209.21",151.862,8.937,,"5,209.21",151.862,8.937,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Bio Response Modifiers,2015,52.06,1.49,"5,732.87",163.581,9.08,,"5,732.87",163.581,9.08,0.118,0.094,0.101,0.016,,0.101,0.016,0.118,0.094,0.101,0.016,,0.101,0.016
Prescription Drugs,NA,All,Bio Response Modifiers,2016,55.48,1.47,"6,331.23",168.259,8.763,,"6,331.23",168.259,8.763,0.066,-0.007,0.104,-0.035,,0.104,-0.035,0.192,0.086,0.215,-0.019,,0.215,-0.019
Prescription Drugs,NA,All,Bio Response Modifiers,2017,59.6,1.55,"6,847.88",178.032,8.703,,"6,847.88",178.032,8.703,0.074,0.051,0.082,-0.007,,0.082,-0.007,0.28,0.142,0.315,-0.026,,0.315,-0.026
Prescription Drugs,NA,All,Bio Response Modifiers,2018,57.75,1.61,"7,173.78",199.788,8.051,,"7,173.78",199.788,8.051,-0.031,0.038,0.048,-0.075,,0.048,-0.075,0.24,0.185,0.377,-0.099,,0.377,-0.099
Prescription Drugs,NA,All,Blood,2014,20.82,1.76,213.507,18.072,97.519,,213.507,18.072,97.519,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Blood,2015,24.26,1.84,249.406,18.899,97.266,,249.406,18.899,97.266,0.165,0.043,0.168,-0.003,,0.168,-0.003,0.165,0.043,0.168,-0.003,,0.168,-0.003
Prescription Drugs,NA,All,Blood,2016,27.8,2.12,284.601,21.745,97.685,,284.601,21.745,97.685,0.146,0.156,0.141,0.004,,0.141,0.004,0.335,0.205,0.333,0.002,,0.333,0.002
Prescription Drugs,NA,All,Blood,2017,30.49,2.49,300.001,24.532,101.636,,300.001,24.532,101.636,0.097,0.174,0.054,0.04,,0.054,0.04,0.464,0.415,0.405,0.042,,0.405,0.042
Prescription Drugs,NA,All,Blood,2018,32.68,2.82,314.448,27.129,103.941,,314.448,27.129,103.941,0.072,0.131,0.048,0.023,,0.048,0.023,0.57,0.6,0.473,0.066,,0.473,0.066
Prescription Drugs,NA,All,Cardiovascular,2014,85.68,27.81,35.14,11.404,"2,438.27",,35.14,11.40,"2,438.27",,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Cardiovascular,2015,78.96,25.11,32.555,10.353,"2,425.45",,32.555,10.35,"2,425.45",-0.078,-0.097,-0.074,-0.005,,-0.074,-0.005,-0.078,-0.097,-0.074,-0.005,,-0.074,-0.005
Prescription Drugs,NA,All,Cardiovascular,2016,74.96,24.02,30.834,9.88,"2,431.20",,30.834,9.88,"2,431.20",-0.051,-0.043,-0.053,0.002,,-0.053,0.002,-0.125,-0.136,-0.123,-0.003,,-0.123,-0.003
Prescription Drugs,NA,All,Cardiovascular,2017,62.44,21.81,24.836,8.673,"2,514.19",,24.836,8.67,"2,514.19",-0.167,-0.092,-0.195,0.034,,-0.195,0.034,-0.271,-0.216,-0.293,0.031,,-0.293,0.031
Prescription Drugs,NA,All,Cardiovascular,2018,55.34,20.27,21.468,7.863,"2,577.67",,21.468,7.86,"2,577.67",-0.114,-0.071,-0.136,0.025,,-0.136,0.025,-0.354,-0.271,-0.389,0.057,,-0.389,0.057
Prescription Drugs,NA,All,Central Nervous System,2014,172.15,40.13,71.46,16.658,"2,408.99",,71.46,16.66,"2,408.99",,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Central Nervous System,2015,162.17,38.1,67.232,15.796,"2,412.17",,67.232,15.80,"2,412.17",-0.058,-0.051,-0.059,0.001,,-0.059,0.001,-0.058,-0.051,-0.059,0.001,,-0.059,0.001
Prescription Drugs,NA,All,Central Nervous System,2016,163.46,38.18,66.754,15.592,"2,448.69",,66.754,15.59,"2,448.69",0.008,0.002,-0.007,0.015,,-0.007,0.015,-0.05,-0.049,-0.066,0.016,,-0.066,0.016
Prescription Drugs,NA,All,Central Nervous System,2017,157.11,37.03,61.836,14.575,"2,540.73",,61.836,14.58,"2,540.73",-0.039,-0.03,-0.074,0.038,,-0.074,0.038,-0.087,-0.077,-0.135,0.055,,-0.135,0.055
Prescription Drugs,NA,All,Central Nervous System,2018,153.53,36.2,60.216,14.198,"2,549.64",,60.216,14.20,"2,549.64",-0.023,-0.022,-0.026,0.004,,-0.026,0.004,-0.108,-0.098,-0.157,0.058,,-0.157,0.058
Prescription Drugs,NA,All,Chemotherapy,2014,32.55,1.06,628.287,20.379,51.806,,628.287,20.379,51.806,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Chemotherapy,2015,38.41,0.99,731.035,18.883,52.542,,731.035,18.883,52.542,0.18,-0.06,0.164,0.014,,0.164,0.014,0.18,-0.06,0.164,0.014,,0.164,0.014
Prescription Drugs,NA,All,Chemotherapy,2016,46.29,1.07,848.618,19.702,54.545,,848.618,19.702,54.545,0.205,0.083,0.161,0.038,,0.161,0.038,0.422,0.018,0.351,0.053,,0.351,0.053
Prescription Drugs,NA,All,Chemotherapy,2017,54.61,0.99,"1,084.76",19.655,50.343,,"1,084.76",19.655,50.343,0.18,-0.079,0.278,-0.077,,0.278,-0.077,0.678,-0.063,0.727,-0.028,,0.727,-0.028
Prescription Drugs,NA,All,Chemotherapy,2018,63.9,1.1,"1,443.00",24.877,44.285,,"1,443.00",24.877,44.285,0.17,0.113,0.33,-0.12,,0.33,-0.12,0.963,0.044,1.297,-0.145,,1.297,-0.145
Prescription Drugs,NA,All,Devices,2014,3.15,1,37.213,11.773,84.528,,37.213,11.773,84.528,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Devices,2015,3.67,1.01,42.515,11.687,86.271,,42.515,11.687,86.271,0.166,0.013,0.142,0.021,,0.142,0.021,0.166,0.013,0.142,0.021,,0.142,0.021
Prescription Drugs,NA,All,Devices,2016,3.66,1.05,42.308,12.073,86.609,,42.308,12.073,86.609,-0.001,0.037,-0.005,0.004,,-0.005,0.004,0.165,0.051,0.137,0.025,,0.137,0.025
Prescription Drugs,NA,All,Devices,2017,4.24,1.06,46.768,11.672,90.738,,46.768,11.672,90.738,0.158,0.013,0.105,0.048,,0.105,0.048,0.349,0.064,0.257,0.073,,0.257,0.073
Prescription Drugs,NA,All,Devices,2018,4.48,1.13,53.595,13.579,83.545,,53.595,13.579,83.545,0.055,0.071,0.146,-0.079,,0.146,-0.079,0.423,0.14,0.44,-0.012,,0.44,-0.012
Prescription Drugs,NA,All,Diagnostic,2014,11.86,1.58,137.848,18.347,86.018,,137.848,18.347,86.018,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Diagnostic,2015,11.32,1.49,130.088,17.176,87.033,,130.088,17.176,87.033,-0.045,-0.053,-0.056,0.012,,-0.056,0.012,-0.045,-0.053,-0.056,0.012,,-0.056,0.012
Prescription Drugs,NA,All,Diagnostic,2016,10.95,1.33,138.238,16.759,79.218,,138.238,16.759,79.218,-0.033,-0.112,0.063,-0.09,,0.063,-0.09,-0.076,-0.159,0.003,-0.079,,0.003,-0.079
Prescription Drugs,NA,All,Diagnostic,2017,10.25,1.22,129.176,15.363,79.318,,129.176,15.363,79.318,-0.064,-0.082,-0.066,0.001,,-0.066,0.001,-0.136,-0.228,-0.063,-0.078,,-0.063,-0.078
Prescription Drugs,NA,All,Diagnostic,2018,8.17,1.1,126.233,17.049,64.696,,126.233,17.049,64.696,-0.203,-0.095,-0.023,-0.184,,-0.023,-0.184,-0.311,-0.301,-0.084,-0.248,,-0.084,-0.248
Prescription Drugs,NA,All,EENT,2014,20.82,7.14,69.302,23.763,300.4,,69.302,23.763,300.4,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,EENT,2015,19.11,6.05,80.813,25.596,236.521,,80.813,25.596,236.521,-0.082,-0.152,0.166,-0.213,,0.166,-0.213,-0.082,-0.152,0.166,-0.213,,0.166,-0.213
Prescription Drugs,NA,All,EENT,2016,18.16,5.52,87.005,26.459,208.69,,87.005,26.459,208.69,-0.05,-0.088,0.077,-0.118,,0.077,-0.118,-0.128,-0.226,0.255,-0.305,,0.255,-0.305
Prescription Drugs,NA,All,EENT,2017,18.52,5.39,86.927,25.271,213.092,,86.927,25.271,213.092,0.02,-0.025,-0.001,0.021,,-0.001,0.021,-0.11,-0.246,0.254,-0.291,,0.254,-0.291
Prescription Drugs,NA,All,EENT,2018,18.35,5.41,87.425,25.778,209.886,,87.425,25.778,209.886,-0.009,0.005,0.006,-0.015,,0.006,-0.015,-0.119,-0.242,0.261,-0.301,,0.261,-0.301
Prescription Drugs,NA,All,Enzymes,2014,1.08,0.02,"14,590.65",229.373,0.074,,"14,590.65",229.373,0.074,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Enzymes,2015,1.16,0.02,"14,346.35",215.227,0.081,,"14,346.35",215.227,0.081,0.072,0.023,-0.017,0.091,,-0.017,0.091,0.072,0.023,-0.017,0.091,,-0.017,0.091
Prescription Drugs,NA,All,Enzymes,2016,2.05,0.02,"21,983.56",220.092,0.093,,"21,983.56",220.092,0.093,0.773,0.183,0.532,0.157,,0.532,0.157,0.901,0.211,0.507,0.262,,0.507,0.262
Prescription Drugs,NA,All,Enzymes,2017,2.41,0.02,"25,605.66",254.569,0.094,,"25,605.66",254.569,0.094,0.176,0.168,0.165,0.01,,0.165,0.01,1.236,0.414,0.755,0.274,,0.755,0.274
Prescription Drugs,NA,All,Enzymes,2018,2.62,0.03,"23,718.21",290.333,0.111,,"23,718.21",290.333,0.111,0.086,0.337,-0.074,0.172,,-0.074,0.172,1.427,0.89,0.626,0.493,,0.626,0.493
Prescription Drugs,NA,All,Gastrointestinal,2014,36.96,7.89,87.603,18.706,421.924,,87.603,18.706,421.924,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Gastrointestinal,2015,35.12,7.07,84.181,16.952,417.168,,84.181,16.952,417.168,-0.05,-0.104,-0.039,-0.011,,-0.039,-0.011,-0.05,-0.104,-0.039,-0.011,,-0.039,-0.011
Prescription Drugs,NA,All,Gastrointestinal,2016,36.09,6.81,87.718,16.541,411.436,,87.718,16.541,411.436,0.028,-0.038,0.042,-0.014,,0.042,-0.014,-0.024,-0.138,0.001,-0.025,,0.001,-0.025
Prescription Drugs,NA,All,Gastrointestinal,2017,36.75,6.53,88.175,15.669,416.733,,88.175,15.669,416.733,0.018,-0.041,0.005,0.013,,0.005,0.013,-0.006,-0.173,0.007,-0.012,,0.007,-0.012
Prescription Drugs,NA,All,Gastrointestinal,2018,35.66,6.33,85.927,15.242,415.056,,85.927,15.242,415.056,-0.029,-0.031,-0.025,-0.004,,-0.025,-0.004,-0.035,-0.198,-0.019,-0.016,,-0.019,-0.016
Prescription Drugs,NA,All,Heavy Metal Antagonists,2014,1.07,0.02,"6,112.38",104.491,0.175,,"6,112.38",104.491,0.175,,,,,,,,0,0,0,0,,0,0
Prescription Drugs,NA,All,Heavy Metal Antagonists,2015,1.4,0.02,"8,613.62",106.76,0.163,,"8,613.62",106.76,0.163,0.313,-0.048,0.409,-0.068,,0.409,-0.068,0.313,-0.048,0.409,-0.068,,0.409,-0.068
Prescription Drugs,NA,All,Heavy Metal Antagonists,2016,1.61,0.02,"9,498.72",105.831,0.169,,"9,498.72",105.831,0.169,0.146,0.03,0.103,0.039,,0.103,0.039,0.505,-0.019,0.554,-0.032,,0.554,-0.032
