plan_type,HCCI_category,HCCI_outpatient_service_type,HCCI_subcategory,RX_generic_brand_indicator,Year,spending_per_member,OOP_spending_per_member,adjusted_price,adjusted_OOP_price,adjusted_utilization_per_1000,case_mix_intensity_index,price,OOP_price,utilization_per_1000,annual_pct_change_spending_per_member,annual_pct_change_OOP_spending_per_member,annual_pct_change_adjusted_price,annual_pct_change_adjusted_utilization_per_1000,annual_pct_change_case_mix_intensity_index,annual_pct_change_price,annual_pct_change_utilization_per_1000,cumulative_pct_change_spending_per_member,cumulative_pct_change_OOP_spending_per_member,cumulative_pct_change_adjusted_price,cumulative_pct_change_adjusted_utilization_per_1000,cumulative_pct_change_case_mix_intensity_index,cumulative_pct_change_price,cumulative_pct_change_utilization_per_1000
CDHP,Prescription Drugs,NA,Blood,Generic,2016,2.52,0.602,44.711,10.687,56.36,,44.711,10.687,56.36,-0.082,-0.099,-0.001,-0.081,,-0.001,-0.081,-0.269,-0.247,-0.165,-0.125,,-0.165,-0.125
CDHP,Prescription Drugs,NA,Blood,Generic,2017,2.54,0.555,46.928,10.249,54.135,,46.928,10.249,54.135,0.008,-0.079,0.05,-0.039,,0.05,-0.039,-0.263,-0.306,-0.124,-0.159,,-0.124,-0.159
CDHP,Prescription Drugs,NA,Blood,Generic,2018,2.718,0.579,50.655,10.787,53.655,,50.655,10.787,53.655,0.07,0.043,0.079,-0.009,,0.079,-0.009,-0.212,-0.276,-0.054,-0.167,,-0.054,-0.167
CDHP,Prescription Drugs,NA,Blood,Unknown,2014,0.035,0.002,"1,876.40",119.128,0.019,,"1,876.40",119.128,0.019,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Blood,Unknown,2015,0.005,0.001,710.135,75.908,0.007,,710.135,75.908,0.007,-0.861,-0.766,-0.622,-0.633,,-0.622,-0.633,-0.861,-0.766,-0.622,-0.633,,-0.622,-0.633
CDHP,Prescription Drugs,NA,Blood,Unknown,2016,0,0,58.405,30.43,0.002,,58.405,30.43,0.002,-0.976,-0.884,-0.918,-0.71,,-0.918,-0.71,-0.997,-0.973,-0.969,-0.894,,-0.969,-0.894
CDHP,Prescription Drugs,NA,Blood,Unknown,2017,0,0,"2,357.95",0,0,,"2,357.95",0,0,-0.311,-1,39.373,-0.983,,39.373,-0.983,-0.998,-1,0.257,-0.998,,0.257,-0.998
CDHP,Prescription Drugs,NA,Blood,Unknown,2018,0,0,158.245,63.3,0.001,,158.245,63.3,0.001,0.972,,-0.933,28.39,,-0.933,28.39,-0.995,-0.972,-0.916,-0.947,,-0.916,-0.947
CDHP,Prescription Drugs,NA,Cardiovascular,All,2014,69.166,26.565,32.426,12.454,"2,133.02",,32.426,12.454,"2,133.02",,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Cardiovascular,All,2015,63.639,23.829,29.934,11.208,"2,126.01",,29.934,11.208,"2,126.01",-0.08,-0.103,-0.077,-0.003,,-0.077,-0.003,-0.08,-0.103,-0.077,-0.003,,-0.077,-0.003
CDHP,Prescription Drugs,NA,Cardiovascular,All,2016,59.258,22.472,28.188,10.689,"2,102.27",,28.188,10.689,"2,102.27",-0.069,-0.057,-0.058,-0.011,,-0.058,-0.011,-0.143,-0.154,-0.131,-0.014,,-0.131,-0.014
CDHP,Prescription Drugs,NA,Cardiovascular,All,2017,49.543,19.697,23.063,9.169,"2,148.20",,23.063,9.169,"2,148.20",-0.164,-0.124,-0.182,0.022,,-0.182,0.022,-0.284,-0.259,-0.289,0.007,,-0.289,0.007
CDHP,Prescription Drugs,NA,Cardiovascular,All,2018,44.873,18.095,20.155,8.127,"2,226.43",,20.155,8.127,"2,226.43",-0.094,-0.081,-0.126,0.036,,-0.126,0.036,-0.351,-0.319,-0.378,0.044,,-0.378,0.044
CDHP,Prescription Drugs,NA,Cardiovascular,Brand,2014,39.896,12.476,174.584,54.595,228.521,,174.584,54.595,228.521,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Cardiovascular,Brand,2015,36.787,10.556,201.469,57.813,182.593,,201.469,57.813,182.593,-0.078,-0.154,0.154,-0.201,,0.154,-0.201,-0.078,-0.154,0.154,-0.201,,0.154,-0.201
CDHP,Prescription Drugs,NA,Cardiovascular,Brand,2016,31.185,8.972,234.096,67.351,133.215,,234.096,67.351,133.215,-0.152,-0.15,0.162,-0.27,,0.162,-0.27,-0.218,-0.281,0.341,-0.417,,0.341,-0.417
CDHP,Prescription Drugs,NA,Cardiovascular,Brand,2017,18.396,5.268,273.356,78.284,67.297,,273.356,78.284,67.297,-0.41,-0.413,0.168,-0.495,,0.168,-0.495,-0.539,-0.578,0.566,-0.706,,0.566,-0.706
CDHP,Prescription Drugs,NA,Cardiovascular,Brand,2018,13.697,3.639,295.02,78.381,46.426,,295.02,78.381,46.426,-0.255,-0.309,0.079,-0.31,,0.079,-0.31,-0.657,-0.708,0.69,-0.797,,0.69,-0.797
CDHP,Prescription Drugs,NA,Cardiovascular,Generic,2014,29.127,14.053,15.297,7.381,"1,904.05",,15.297,7.381,"1,904.05",,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Cardiovascular,Generic,2015,26.747,13.251,13.765,6.819,"1,943.17",,13.765,6.819,"1,943.17",-0.082,-0.057,-0.1,0.021,,-0.1,0.021,-0.082,-0.057,-0.1,0.021,,-0.1,0.021
CDHP,Prescription Drugs,NA,Cardiovascular,Generic,2016,28.057,13.496,14.25,6.854,"1,968.98",,14.25,6.854,"1,968.98",0.049,0.018,0.035,0.013,,0.035,0.013,-0.037,-0.04,-0.068,0.034,,-0.068,0.034
CDHP,Prescription Drugs,NA,Cardiovascular,Generic,2017,31.144,14.427,14.967,6.933,"2,080.86",,14.967,6.933,"2,080.86",0.11,0.069,0.05,0.057,,0.05,0.057,0.069,0.027,-0.022,0.093,,-0.022,0.093
CDHP,Prescription Drugs,NA,Cardiovascular,Generic,2018,31.143,14.455,14.286,6.631,"2,179.98",,14.286,6.631,"2,179.98",0,0.002,-0.046,0.048,,-0.046,0.048,0.069,0.029,-0.066,0.145,,-0.066,0.145
CDHP,Prescription Drugs,NA,Cardiovascular,Unknown,2014,0.144,0.036,322.053,79.944,0.446,,322.053,79.944,0.446,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Cardiovascular,Unknown,2015,0.105,0.022,432.808,89.244,0.242,,432.808,89.244,0.242,-0.269,-0.393,0.344,-0.456,,0.344,-0.456,-0.269,-0.393,0.344,-0.456,,0.344,-0.456
CDHP,Prescription Drugs,NA,Cardiovascular,Unknown,2016,0.016,0.004,204.71,50.528,0.078,,204.71,50.528,0.078,-0.848,-0.818,-0.527,-0.678,,-0.527,-0.678,-0.889,-0.889,-0.364,-0.825,,-0.364,-0.825
CDHP,Prescription Drugs,NA,Cardiovascular,Unknown,2017,0.003,0.001,81.844,26.466,0.038,,81.844,26.466,0.038,-0.807,-0.747,-0.6,-0.517,,-0.6,-0.517,-0.979,-0.972,-0.746,-0.915,,-0.746,-0.915
CDHP,Prescription Drugs,NA,Cardiovascular,Unknown,2018,0.034,0.002,"1,155.59",58.515,0.029,,"1,155.59",58.515,0.029,9.909,0.708,13.119,-0.227,,13.119,-0.227,-0.766,-0.952,2.588,-0.935,,2.588,-0.935
CDHP,Prescription Drugs,NA,Central Nervous System,All,2014,130.789,47.689,62.19,22.676,"2,103.05",,62.19,22.676,"2,103.05",,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Central Nervous System,All,2015,122.284,45.968,58.514,21.996,"2,089.82",,58.514,21.996,"2,089.82",-0.065,-0.036,-0.059,-0.006,,-0.059,-0.006,-0.065,-0.036,-0.059,-0.006,,-0.059,-0.006
CDHP,Prescription Drugs,NA,Central Nervous System,All,2016,121.411,45.853,58.025,21.914,"2,092.41",,58.025,21.914,"2,092.41",-0.007,-0.002,-0.008,0.001,,-0.008,0.001,-0.072,-0.038,-0.067,-0.005,,-0.067,-0.005
CDHP,Prescription Drugs,NA,Central Nervous System,All,2017,115.559,44.171,53.928,20.613,"2,142.86",,53.928,20.613,"2,142.86",-0.048,-0.037,-0.071,0.024,,-0.071,0.024,-0.116,-0.074,-0.133,0.019,,-0.133,0.019
CDHP,Prescription Drugs,NA,Central Nervous System,All,2018,115.048,42.814,52.897,19.685,"2,174.96",,52.897,19.685,"2,174.96",-0.004,-0.031,-0.019,0.015,,-0.019,0.015,-0.12,-0.102,-0.149,0.034,,-0.149,0.034
CDHP,Prescription Drugs,NA,Central Nervous System,Brand,2014,69.495,18.311,362.9,95.62,191.5,,362.9,95.62,191.5,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Central Nervous System,Brand,2015,63.018,17.207,399.551,109.1,157.721,,399.551,109.1,157.721,-0.093,-0.06,0.101,-0.176,,0.101,-0.176,-0.093,-0.06,0.101,-0.176,,0.101,-0.176
CDHP,Prescription Drugs,NA,Central Nervous System,Brand,2016,62.892,16.851,431.835,115.706,145.639,,431.835,115.706,145.639,-0.002,-0.021,0.081,-0.077,,0.081,-0.077,-0.095,-0.08,0.19,-0.239,,0.19,-0.239
CDHP,Prescription Drugs,NA,Central Nervous System,Brand,2017,60.046,15.651,477.083,124.353,125.861,,477.083,124.353,125.861,-0.045,-0.071,0.105,-0.136,,0.105,-0.136,-0.136,-0.145,0.315,-0.343,,0.315,-0.343
CDHP,Prescription Drugs,NA,Central Nervous System,Brand,2018,61.856,14.903,527.767,127.155,117.204,,527.767,127.155,117.204,0.03,-0.048,0.106,-0.069,,0.106,-0.069,-0.11,-0.186,0.454,-0.388,,0.454,-0.388
CDHP,Prescription Drugs,NA,Central Nervous System,Generic,2014,57.376,28.885,30.059,15.133,"1,908.80",,30.059,15.133,"1,908.80",,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Central Nervous System,Generic,2015,58.003,28.611,30.035,14.816,"1,931.14",,30.035,14.816,"1,931.14",0.011,-0.009,-0.001,0.012,,-0.001,0.012,0.011,-0.009,-0.001,0.012,,-0.001,0.012
CDHP,Prescription Drugs,NA,Central Nervous System,Generic,2016,58.473,28.992,30.039,14.894,"1,946.59",,30.039,14.894,"1,946.59",0.008,0.013,0,0.008,,0,0.008,0.019,0.004,-0.001,0.02,,-0.001,0.02
CDHP,Prescription Drugs,NA,Central Nervous System,Generic,2017,55.502,28.516,27.518,14.139,"2,016.92",,27.518,14.139,"2,016.92",-0.051,-0.016,-0.084,0.036,,-0.084,0.036,-0.033,-0.013,-0.085,0.057,,-0.085,0.057
CDHP,Prescription Drugs,NA,Central Nervous System,Generic,2018,53.184,27.909,25.846,13.563,"2,057.72",,25.846,13.563,"2,057.72",-0.042,-0.021,-0.061,0.02,,-0.061,0.02,-0.073,-0.034,-0.14,0.078,,-0.14,0.078
CDHP,Prescription Drugs,NA,Central Nervous System,Unknown,2014,3.917,0.492,"1,421.40",178.654,2.756,,"1,421.40",178.654,2.756,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Central Nervous System,Unknown,2015,1.264,0.149,"1,314.95",155.206,0.961,,"1,314.95",155.206,0.961,-0.677,-0.697,-0.075,-0.651,,-0.075,-0.651,-0.677,-0.697,-0.075,-0.651,,-0.075,-0.651
CDHP,Prescription Drugs,NA,Central Nervous System,Unknown,2016,0.046,0.01,250.442,56.079,0.183,,250.442,56.079,0.183,-0.964,-0.931,-0.81,-0.81,,-0.81,-0.81,-0.988,-0.979,-0.824,-0.934,,-0.824,-0.934
CDHP,Prescription Drugs,NA,Central Nervous System,Unknown,2017,0.012,0.003,146.629,41.647,0.079,,146.629,41.647,0.079,-0.748,-0.681,-0.415,-0.57,,-0.415,-0.57,-0.997,-0.993,-0.897,-0.971,,-0.897,-0.971
CDHP,Prescription Drugs,NA,Central Nervous System,Unknown,2018,0.008,0.001,265.338,35.315,0.03,,265.338,35.315,0.03,-0.311,-0.677,0.81,-0.619,,0.81,-0.619,-0.998,-0.998,-0.813,-0.989,,-0.813,-0.989
CDHP,Prescription Drugs,NA,Chemotherapy,All,2014,27.634,1.681,595.311,36.203,46.42,,595.311,36.203,46.42,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Chemotherapy,All,2015,33.465,1.682,709.527,35.666,47.166,,709.527,35.666,47.166,0.211,0.001,0.192,0.016,,0.192,0.016,0.211,0.001,0.192,0.016,,0.192,0.016
CDHP,Prescription Drugs,NA,Chemotherapy,All,2016,40.084,1.713,832.187,35.57,48.167,,832.187,35.57,48.167,0.198,0.018,0.173,0.021,,0.173,0.021,0.451,0.019,0.398,0.038,,0.398,0.038
CDHP,Prescription Drugs,NA,Chemotherapy,All,2017,49.075,1.566,"1,121.86",35.807,43.744,,"1,121.86",35.807,43.744,0.224,-0.086,0.348,-0.092,,0.348,-0.092,0.776,-0.068,0.884,-0.058,,0.884,-0.058
CDHP,Prescription Drugs,NA,Chemotherapy,All,2018,59.101,1.871,"1,520.76",48.149,38.863,,"1,520.76",48.149,38.863,0.204,0.195,0.356,-0.112,,0.356,-0.112,1.139,0.113,1.555,-0.163,,1.555,-0.163
CDHP,Prescription Drugs,NA,Chemotherapy,Brand,2014,23.389,0.875,"7,228.00",270.504,3.236,,"7,228.00",270.504,3.236,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Chemotherapy,Brand,2015,28.977,0.9,"8,305.72",258.017,3.489,,"8,305.72",258.017,3.489,0.239,0.028,0.149,0.078,,0.149,0.078,0.239,0.028,0.149,0.078,,0.149,0.078
CDHP,Prescription Drugs,NA,Chemotherapy,Brand,2016,36.124,0.958,"8,860.58",234.923,4.077,,"8,860.58",234.923,4.077,0.247,0.064,0.067,0.169,,0.067,0.169,0.544,0.094,0.226,0.26,,0.226,0.26
CDHP,Prescription Drugs,NA,Chemotherapy,Brand,2017,43.182,0.867,"9,767.47",196.063,4.421,,"9,767.47",196.063,4.421,0.195,-0.095,0.102,0.084,,0.102,0.084,0.846,-0.01,0.351,0.366,,0.351,0.366
CDHP,Prescription Drugs,NA,Chemotherapy,Brand,2018,53.382,1.129,"10,713.94",226.673,4.983,,"10,713.94",226.673,4.983,0.236,0.303,0.097,0.127,,0.097,0.127,1.282,0.29,0.482,0.54,,0.482,0.54
CDHP,Prescription Drugs,NA,Chemotherapy,Generic,2014,4.134,0.8,95.917,18.552,43.1,,95.917,18.552,43.1,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Chemotherapy,Generic,2015,4.378,0.778,100.403,17.833,43.608,,100.403,17.833,43.608,0.059,-0.027,0.047,0.012,,0.047,0.012,0.059,-0.027,0.047,0.012,,0.047,0.012
CDHP,Prescription Drugs,NA,Chemotherapy,Generic,2016,3.96,0.755,89.844,17.132,44.073,,89.844,17.132,44.073,-0.096,-0.029,-0.105,0.011,,-0.105,0.011,-0.042,-0.056,-0.063,0.023,,-0.063,0.023
CDHP,Prescription Drugs,NA,Chemotherapy,Generic,2017,5.893,0.699,149.908,17.789,39.311,,149.908,17.789,39.311,0.488,-0.074,0.669,-0.108,,0.669,-0.108,0.426,-0.125,0.563,-0.088,,0.563,-0.088
CDHP,Prescription Drugs,NA,Chemotherapy,Generic,2018,5.718,0.742,168.794,21.891,33.876,,168.794,21.891,33.876,-0.03,0.06,0.126,-0.138,,0.126,-0.138,0.383,-0.073,0.76,-0.214,,0.76,-0.214
CDHP,Prescription Drugs,NA,Chemotherapy,Unknown,2014,0.111,0.006,"1,321.41",67.157,0.084,,"1,321.41",67.157,0.084,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Chemotherapy,Unknown,2015,0.11,0.004,"1,595.05",63.16,0.069,,"1,595.05",63.16,0.069,-0.008,-0.227,0.207,-0.178,,0.207,-0.178,-0.008,-0.227,0.207,-0.178,,0.207,-0.178
CDHP,Prescription Drugs,NA,Chemotherapy,Unknown,2016,0.001,0,55.213,27.299,0.018,,55.213,27.299,0.018,-0.991,-0.888,-0.965,-0.74,,-0.965,-0.74,-0.991,-0.913,-0.958,-0.786,,-0.958,-0.786
CDHP,Prescription Drugs,NA,Chemotherapy,Unknown,2017,0.001,0,40.518,22.189,0.013,,40.518,22.189,0.013,-0.488,-0.433,-0.266,-0.303,,-0.266,-0.303,-0.995,-0.951,-0.969,-0.851,,-0.969,-0.851
CDHP,Prescription Drugs,NA,Chemotherapy,Unknown,2018,0,0,66.74,42.315,0.004,,66.74,42.315,0.004,-0.437,-0.348,0.647,-0.658,,0.647,-0.658,-0.997,-0.968,-0.949,-0.949,,-0.949,-0.949
CDHP,Prescription Drugs,NA,Devices,All,2014,2.477,0.811,39.312,12.872,63.019,,39.312,12.872,63.019,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Devices,All,2015,2.912,0.819,45.525,12.801,63.963,,45.525,12.801,63.963,0.175,0.009,0.158,0.015,,0.158,0.015,0.175,0.009,0.158,0.015,,0.158,0.015
CDHP,Prescription Drugs,NA,Devices,All,2016,2.954,0.861,47.019,13.705,62.824,,47.019,13.705,62.824,0.014,0.052,0.033,-0.018,,0.033,-0.018,0.192,0.061,0.196,-0.003,,0.196,-0.003
CDHP,Prescription Drugs,NA,Devices,All,2017,3.378,0.854,52.313,13.222,64.566,,52.313,13.222,64.566,0.143,-0.008,0.113,0.028,,0.113,0.028,0.363,0.052,0.331,0.025,,0.331,0.025
CDHP,Prescription Drugs,NA,Devices,All,2018,3.714,0.94,55.331,14.01,67.119,,55.331,14.01,67.119,0.1,0.102,0.058,0.04,,0.058,0.04,0.499,0.159,0.407,0.065,,0.407,0.065
CDHP,Prescription Drugs,NA,Devices,Brand,2014,0.379,0.102,552.243,148.856,0.686,,552.243,148.856,0.686,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Devices,Brand,2015,0.535,0.13,730.208,176.778,0.733,,730.208,176.778,0.733,0.414,0.27,0.322,0.069,,0.322,0.069,0.414,0.27,0.322,0.069,,0.322,0.069
CDHP,Prescription Drugs,NA,Devices,Brand,2016,0.422,0.114,682.159,183.815,0.619,,682.159,183.815,0.619,-0.211,-0.122,-0.066,-0.156,,-0.066,-0.156,0.115,0.114,0.235,-0.098,,0.235,-0.098
CDHP,Prescription Drugs,NA,Devices,Brand,2017,0.561,0.133,"1,134.28",269.584,0.495,,"1,134.28",269.584,0.495,0.33,0.173,0.663,-0.2,,0.663,-0.2,0.482,0.307,1.054,-0.278,,1.054,-0.278
CDHP,Prescription Drugs,NA,Devices,Brand,2018,0.588,0.141,"1,205.05",288.74,0.488,,"1,205.05",288.74,0.488,0.047,0.056,0.062,-0.014,,0.062,-0.014,0.552,0.38,1.182,-0.289,,1.182,-0.289
CDHP,Prescription Drugs,NA,Devices,Generic,2014,0.259,0.075,591.362,171.014,0.437,,591.362,171.014,0.437,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Devices,Generic,2015,0.247,0.071,559.019,159.9,0.441,,559.019,159.9,0.441,-0.046,-0.057,-0.055,0.009,,-0.055,0.009,-0.046,-0.057,-0.055,0.009,,-0.055,0.009
CDHP,Prescription Drugs,NA,Devices,Generic,2016,0.275,0.106,441.445,170.739,0.622,,441.445,170.739,0.622,0.114,0.506,-0.21,0.41,,-0.21,0.41,0.062,0.42,-0.254,0.423,,-0.254,0.423
CDHP,Prescription Drugs,NA,Devices,Generic,2017,0.087,0.039,344.305,156.053,0.252,,344.305,156.053,0.252,-0.684,-0.629,-0.22,-0.594,,-0.22,-0.594,-0.664,-0.473,-0.418,-0.423,,-0.418,-0.423
CDHP,Prescription Drugs,NA,Devices,Generic,2018,0.103,0.042,429.005,176.558,0.24,,429.005,176.558,0.24,0.184,0.076,0.246,-0.049,,0.246,-0.049,-0.602,-0.434,-0.275,-0.451,,-0.275,-0.451
CDHP,Prescription Drugs,NA,Devices,Unknown,2014,1.84,0.634,29.728,10.248,61.896,,29.728,10.248,61.896,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Devices,Unknown,2015,2.13,0.619,33.922,9.852,62.788,,33.922,9.852,62.788,0.158,-0.025,0.141,0.014,,0.141,0.014,0.158,-0.025,0.141,0.014,,0.141,0.014
CDHP,Prescription Drugs,NA,Devices,Unknown,2016,2.257,0.641,36.651,10.409,61.583,,36.651,10.409,61.583,0.06,0.036,0.08,-0.019,,0.08,-0.019,0.227,0.011,0.233,-0.005,,0.233,-0.005
CDHP,Prescription Drugs,NA,Devices,Unknown,2017,2.729,0.681,42.769,10.669,63.819,,42.769,10.669,63.819,0.209,0.062,0.167,0.036,,0.167,0.036,0.483,0.074,0.439,0.031,,0.439,0.031
CDHP,Prescription Drugs,NA,Devices,Unknown,2018,3.023,0.757,45.531,11.404,66.391,,45.531,11.404,66.391,0.107,0.112,0.065,0.04,,0.065,0.04,0.643,0.194,0.532,0.073,,0.532,0.073
CDHP,Prescription Drugs,NA,Diagnostic,All,2014,9.606,1.678,150.5,26.294,63.829,,150.5,26.294,63.829,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Diagnostic,All,2015,9.151,1.54,143.472,24.145,63.779,,143.472,24.145,63.779,-0.047,-0.082,-0.047,-0.001,,-0.047,-0.001,-0.047,-0.082,-0.047,-0.001,,-0.047,-0.001
CDHP,Prescription Drugs,NA,Diagnostic,All,2016,8.855,1.325,157.811,23.62,56.109,,157.811,23.62,56.109,-0.032,-0.139,0.1,-0.12,,0.1,-0.12,-0.078,-0.21,0.049,-0.121,,0.049,-0.121
CDHP,Prescription Drugs,NA,Diagnostic,All,2017,8.474,1.24,151.58,22.186,55.907,,151.58,22.186,55.907,-0.043,-0.064,-0.039,-0.004,,-0.039,-0.004,-0.118,-0.261,0.007,-0.124,,0.007,-0.124
CDHP,Prescription Drugs,NA,Diagnostic,All,2018,6.907,1.109,125.349,20.128,55.106,,125.349,20.128,55.106,-0.185,-0.106,-0.173,-0.014,,-0.173,-0.014,-0.281,-0.339,-0.167,-0.137,,-0.167,-0.137
CDHP,Prescription Drugs,NA,Diagnostic,Brand,2014,1.556,0.041,"31,205.64",821.564,0.05,,"31,205.64",821.564,0.05,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Diagnostic,Brand,2015,1.007,0.029,"28,891.05",842.493,0.035,,"28,891.05",842.493,0.035,-0.353,-0.283,-0.074,-0.301,,-0.074,-0.301,-0.353,-0.283,-0.074,-0.301,,-0.074,-0.301
CDHP,Prescription Drugs,NA,Diagnostic,Brand,2016,1.556,0.017,"43,222.28",482.553,0.036,,"43,222.28",482.553,0.036,0.544,-0.409,0.496,0.032,,0.496,0.032,-0.001,-0.576,0.385,-0.278,,0.385,-0.278
CDHP,Prescription Drugs,NA,Diagnostic,Brand,2017,1.025,0.023,"43,867.18",981.516,0.023,,"43,867.18",981.516,0.023,-0.341,0.32,0.015,-0.351,,0.015,-0.351,-0.342,-0.441,0.406,-0.532,,0.406,-0.532
CDHP,Prescription Drugs,NA,Diagnostic,Brand,2018,0.813,0.011,"53,709.55",734.617,0.015,,"53,709.55",734.617,0.015,-0.206,-0.515,0.224,-0.352,,0.224,-0.352,-0.477,-0.729,0.721,-0.696,,0.721,-0.696
CDHP,Prescription Drugs,NA,Diagnostic,Generic,2014,0.001,0,614.655,238.902,0.001,,614.655,238.902,0.001,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Diagnostic,Generic,2015,0.001,0,332.909,134.096,0.002,,332.909,134.096,0.002,-0.034,0.001,-0.458,0.784,,-0.458,0.784,-0.034,0.001,-0.458,0.784,,-0.458,0.784
CDHP,Prescription Drugs,NA,Diagnostic,Generic,2016,0,0,569.115,347.704,0.001,,569.115,347.704,0.001,-0.397,-0.086,0.71,-0.648,,0.71,-0.648,-0.418,-0.085,-0.074,-0.371,,-0.074,-0.371
CDHP,Prescription Drugs,NA,Diagnostic,Generic,2017,0,0,538.392,197.093,0.001,,538.392,197.093,0.001,0.318,-0.21,-0.054,0.394,,-0.054,0.394,-0.232,-0.277,-0.124,-0.124,,-0.124,-0.124
CDHP,Prescription Drugs,NA,Diagnostic,Generic,2018,0,0,685.392,313.649,0.001,,685.392,313.649,0.001,-0.1,0.124,0.273,-0.293,,0.273,-0.293,-0.31,-0.187,0.115,-0.381,,0.115,-0.381
CDHP,Prescription Drugs,NA,Diagnostic,Unknown,2014,8.049,1.637,126.206,25.668,63.778,,126.206,25.668,63.778,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,Diagnostic,Unknown,2015,8.142,1.51,127.74,23.694,63.742,,127.74,23.694,63.742,0.012,-0.077,0.012,-0.001,,0.012,-0.001,0.012,-0.077,0.012,-0.001,,0.012,-0.001
CDHP,Prescription Drugs,NA,Diagnostic,Unknown,2016,7.299,1.308,130.166,23.322,56.072,,130.166,23.322,56.072,-0.104,-0.134,0.019,-0.12,,0.019,-0.12,-0.093,-0.201,0.031,-0.121,,0.031,-0.121
CDHP,Prescription Drugs,NA,Diagnostic,Unknown,2017,7.449,1.217,133.301,21.783,55.883,,133.301,21.783,55.883,0.021,-0.069,0.024,-0.003,,0.024,-0.003,-0.075,-0.256,0.056,-0.124,,0.056,-0.124
CDHP,Prescription Drugs,NA,Diagnostic,Unknown,2018,6.094,1.098,110.613,19.928,55.09,,110.613,19.928,55.09,-0.182,-0.098,-0.17,-0.014,,-0.17,-0.014,-0.243,-0.329,-0.124,-0.136,,-0.124,-0.136
CDHP,Prescription Drugs,NA,EENT,All,2014,16.921,8.512,63.958,32.173,264.565,,63.958,32.173,264.565,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,EENT,All,2015,15.083,7.203,73.3,35.006,205.772,,73.3,35.006,205.772,-0.109,-0.154,0.146,-0.222,,0.146,-0.222,-0.109,-0.154,0.146,-0.222,,0.146,-0.222
CDHP,Prescription Drugs,NA,EENT,All,2016,14.182,6.705,77.493,36.637,183.016,,77.493,36.637,183.016,-0.06,-0.069,0.057,-0.111,,0.057,-0.111,-0.162,-0.212,0.212,-0.308,,0.212,-0.308
CDHP,Prescription Drugs,NA,EENT,All,2017,14.493,6.811,80.745,37.949,179.491,,80.745,37.949,179.491,0.022,0.016,0.042,-0.019,,0.042,-0.019,-0.143,-0.2,0.262,-0.322,,0.262,-0.322
CDHP,Prescription Drugs,NA,EENT,All,2018,14.449,6.817,80.845,38.143,178.723,,80.845,38.143,178.723,-0.003,0.001,0.001,-0.004,,0.001,-0.004,-0.146,-0.199,0.264,-0.324,,0.264,-0.324
CDHP,Prescription Drugs,NA,EENT,Brand,2014,10.929,4.703,202.28,87.051,54.029,,202.28,87.051,54.029,,,,,,,,0,0,0,0,,0,0
CDHP,Prescription Drugs,NA,EENT,Brand,2015,9.832,3.979,247.741,100.265,39.686,,247.741,100.265,39.686,-0.1,-0.154,0.225,-0.265,,0.225,-0.265,-0.1,-0.154,0.225,-0.265,,0.225,-0.265
CDHP,Prescription Drugs,NA,EENT,Brand,2016,8.619,3.539,283.196,116.292,30.435,,283.196,116.292,30.435,-0.123,-0.111,0.143,-0.233,,0.143,-0.233,-0.211,-0.247,0.4,-0.437,,0.4,-0.437
CDHP,Prescription Drugs,NA,EENT,Brand,2017,8.601,3.468,322.558,130.052,26.666,,322.558,130.052,26.666,-0.002,-0.02,0.139,-0.124,,0.139,-0.124,-0.213,-0.263,0.595,-0.506,,0.595,-0.506
CDHP,Prescription Drugs,NA,EENT,Brand,2018,8.621,3.382,357.094,140.09,24.143,,357.094,140.09,24.143,0.002,-0.025,0.107,-0.095,,0.107,-0.095,-0.211,-0.281,0.765,-0.553,,0.765,-0.553
CDHP,Prescription Drugs,NA,EENT,Generic,2014,5.991,3.808,28.459,18.09,210.52,,28.459,18.09,210.52,,,,,,,,0,0,0,0,,0,0
